gender,car,reality,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,email,occyp_type,family_size,begin_month,ID,cluster
0.0,1.0,1.0,0.49552802622490644,0.0,0.0,0.0,0.0,0.6491660457385223,0.0,0.0,0.0,0.0,0.07142857142857142,0.8833333333333333,0.0,0.125
0.0,0.0,0.0,0.4337219038764655,0.25,0.25,0.0,0.0,0.4624290709004414,0.5937062557847008,0.0,0.0,0.05555555555555555,0.14285714285714285,0.43333333333333335,0.00015417823003391923,0.375
1.0,1.0,0.0,0.39581140330285924,0.25,0.0,0.0,0.0,0.3311744139393592,0.7767235945525431,1.0,0.0,0.1111111111111111,0.07142857142857142,0.15,0.00030835646006783845,1.0
0.0,1.0,0.0,0.3509727980423212,0.25,0.0,0.0,0.0,0.2616495672608471,0.5192631194499938,0.0,0.0,0.16666666666666666,0.21428571428571427,0.2,0.0004625346901017577,1.0
1.0,1.0,1.0,0.5214394908629965,0.25,0.0,0.0,0.0,0.4854702814237405,0.8043098307450648,0.0,0.0,0.22222222222222224,0.14285714285714285,0.05,0.0006167129201356769,0.625
1.0,1.0,1.0,0.3509727980423212,0.25,0.0,0.0,0.0,0.2789018169312776,0.6327352237225087,1.0,1.0,0.22222222222222224,0.14285714285714285,0.9333333333333333,0.0007708911501695963,0.625
0.0,0.0,0.0,0.4337219038764655,0.0,0.0,0.0,0.0,0.7765231845016335,0.0,0.0,0.0,0.0,0.07142857142857142,0.16666666666666666,0.0009250693802035153,0.375
1.0,1.0,1.0,0.5662780961235341,0.0,0.0,0.0,0.0,0.6444087808792344,0.0,0.0,0.0,0.0,0.14285714285714285,0.8666666666666667,0.0010792476102374346,0.625
0.0,1.0,0.0,0.4665614732014869,0.5,0.25,0.0,0.0,0.20198314896543823,0.8437709325550259,1.0,0.0,0.2777777777777778,0.07142857142857142,0.6333333333333333,0.0012334258402713538,0.25
0.0,0.0,1.0,0.4116834555399782,0.25,0.0,0.0,0.0,0.6304808849658968,0.8884113926386767,0.0,0.0,0.33333333333333326,0.07142857142857142,0.5833333333333334,0.001387604070305273,0.0
0.0,0.0,1.0,0.31953455132565267,0.25,0.0,0.0,0.0,0.24714850690663148,0.7232654639399625,1.0,0.0,0.05555555555555555,0.21428571428571427,0.8666666666666667,0.0015417823003391923,0.25
0.0,0.0,1.0,0.27018331574272203,0.25,0.0,0.0,0.0,0.685275405513842,0.8302274517373193,1.0,0.0,0.38888888888888884,0.07142857142857142,0.05,0.0016959605303731116,0.25
0.0,0.0,1.0,0.3509727980423212,0.0,0.0,0.0,0.0,0.8400298045509257,0.0,0.0,0.0,0.0,0.07142857142857142,0.5,0.0018501387604070308,0.0
1.0,0.0,0.0,0.4337219038764655,0.5,0.5,0.25,0.0,0.12288645612426208,0.5582132063513314,0.0,0.0,0.0,0.0,0.8333333333333334,0.00200431699044095,0.875
0.0,1.0,0.0,0.5214394908629965,0.0,0.0,0.0,0.0,0.7310712443400013,0.0,0.0,0.0,0.0,0.07142857142857142,0.3333333333333333,0.0021584952204748696,0.375
1.0,1.0,0.0,0.5214394908629965,0.25,0.0,0.0,0.0,0.405284576144896,0.7971288937479637,0.0,0.0,0.22222222222222224,0.21428571428571427,0.85,0.0023126734505087886,1.0
0.0,0.0,0.0,0.4665614732014869,0.25,0.0,0.0,0.19999999999999996,0.17590416690548516,0.8135293703983328,0.0,0.0,0.0,0.14285714285714285,0.6833333333333333,0.0024668516805427076,0.375
0.0,0.0,1.0,0.4337219038764655,0.25,0.0,0.5,0.0,0.34452914541181867,0.744120626397873,0.0,0.0,0.1111111111111111,0.14285714285714285,0.5166666666666666,0.002621029910576627,0.0
0.0,0.0,1.0,0.4665614732014869,0.25,0.25,0.0,0.0,0.42964406488221474,0.778362369448899,1.0,0.0,0.2777777777777778,0.07142857142857142,0.18333333333333332,0.002775208140610546,0.25
1.0,1.0,1.0,0.6308017207337828,0.0,0.0,0.0,0.0,0.8381956783401158,0.0,0.0,0.0,0.0,0.07142857142857142,0.43333333333333335,0.0029293863706444656,0.625
0.0,1.0,1.0,0.5214394908629965,0.5,0.25,0.5,0.0,0.45658279360348486,0.56415494524963,0.0,1.0,0.1111111111111111,0.07142857142857142,0.18333333333333332,0.003083564600678385,0.125
1.0,0.0,1.0,0.4337219038764655,0.25,0.0,0.0,0.0,0.13652776981716053,0.7532298794305033,0.0,0.0,0.0,0.21428571428571427,0.75,0.003237742830712304,0.5
0.0,1.0,1.0,0.3509727980423212,0.25,0.0,0.0,0.0,0.2506448099959878,0.6740864163628095,1.0,0.0,0.1111111111111111,0.07142857142857142,0.4666666666666667,0.0033919210607462236,0.25
0.0,0.0,1.0,0.4337219038764655,0.25,0.0,0.0,0.0,0.3397718805525305,0.7694080865721096,0.0,0.0,0.2777777777777778,0.21428571428571427,0.75,0.0035460992907801426,0.0
0.0,0.0,1.0,0.4843473985400606,0.5,0.0,0.0,0.0,0.44374391012781567,0.7711658761251696,0.0,0.0,0.05555555555555555,0.07142857142857142,0.25,0.0037002775208140617,0.0
0.0,0.0,0.0,0.6041885966971403,0.5,0.25,0.0,0.0,0.48621539519688195,0.5937062557847008,1.0,1.0,0.05555555555555555,0.07142857142857142,0.5166666666666666,0.003854455750847981,0.25
1.0,0.0,1.0,0.5214394908629965,0.75,0.25,0.0,0.0,0.29426262394681035,0.8725188623120951,0.0,0.0,0.0,0.21428571428571427,0.48333333333333334,0.0040086339808819,0.5
1.0,1.0,1.0,0.5448792618078366,0.5,0.0,0.0,0.0,0.5835960337020693,0.6563775310380889,1.0,0.0,0.22222222222222224,0.07142857142857142,0.48333333333333334,0.004162812210915819,0.625
0.0,1.0,1.0,0.4665614732014869,0.0,0.0,0.5,0.0,0.7898205995300053,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.004316990440949738,0.125
